cloudcover,conditions,datetime,dew,feelslike,humidity,name,precip,precipprob,sealevelpressure,stations,temp,visibility,winddir,windspeed,holiday_proximity,AAC_energy
NaN,"Clear",2023-02-15T00:00:00,2.2,5.8,72.92,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",6.7,10,169,5.6,0,19.3283
NaN,"Clear",2023-02-15T00:30:00,2.2,5.8,72.92,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",6.7,10,169,5.6,0,75.0366
0,"Clear",2023-02-15T01:00:00,2.2,5.8,77.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",5.8,9.8,64,2.3,0,44.7083
0,"Clear",2023-02-15T01:30:00,2.2,5.8,77.69,"41.829742371733346, 12.468582121891949",0,0,1030,"16242099999,16239099999,16224099999,LIRA",5.8,9.8,64,2.3,0,24.3375
0,"Clear",2023-02-15T02:00:00,0.3,3.9,77.53,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",3.9,9.8,85,3.7,0,13.3375
0,"Clear",2023-02-15T02:30:00,0.3,3.9,77.53,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",3.9,9.8,85,3.7,0,2.33750000000001
0,"Clear",2023-02-15T03:00:00,2.2,4.1,87.96,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999,LIRA",4.1,9.9,40,4,0,0
0,"Clear",2023-02-15T03:30:00,2.2,4.1,87.96,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999,LIRA",4.1,9.9,40,4,0,0
NaN,"Clear",2023-02-15T04:00:00,1.6,1.1,92.62,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999",2.6,10,44,5.9,0,0
NaN,"Clear",2023-02-15T04:30:00,1.6,1.1,92.62,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16245099999,16242099999,16239099999,16224099999",2.6,10,44,5.9,0,0
NaN,"Clear",2023-02-15T05:00:00,0.2,0.3,88.04,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",2,10,43,6,0,0
NaN,"Clear",2023-02-15T05:30:00,0.2,0.3,88.04,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,16224099999,LIRA",2,10,43,6,0,48.8897
NaN,"Clear",2023-02-15T06:00:00,0.1,0.5,87.7,"41.829742371733346, 12.468582121891949",0,0,1028.1,"16242099999,16239099999,16224099999,LIRA",2,10,52,5.4,0,37.8897
NaN,"Clear",2023-02-15T06:30:00,0.1,0.5,87.7,"41.829742371733346, 12.468582121891949",0,0,1028.1,"16242099999,16239099999,16224099999,LIRA",2,10,52,5.4,0,26.8897
NaN,"Clear",2023-02-15T07:00:00,0.8,2.4,88.84,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,74,4.5,0,15.8897
NaN,"Clear",2023-02-15T07:30:00,0.8,2.4,88.84,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,74,4.5,0,124.519
NaN,"Clear",2023-02-15T08:00:00,0.4,0.3,86.33,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,62,7.5,0,146.6264
NaN,"Clear",2023-02-15T08:30:00,0.4,0.3,86.33,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",2.4,10,62,7.5,0,323.6381
NaN,"Clear",2023-02-15T09:00:00,1,2.3,79.09,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",4.3,10,52,8.1,0,417.4666
NaN,"Clear",2023-02-15T09:30:00,1,2.3,79.09,"41.829742371733346, 12.468582121891949",0,0,1029.1,"16242099999,16239099999,AT416,16224099999,16234099999",4.3,10,52,8.1,0,333.4346
NaN,"Clear",2023-02-15T10:00:00,2.6,6.4,70.47,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",7.6,10,39,7.2,0,325.7832
NaN,"Clear",2023-02-15T10:30:00,2.6,6.4,70.47,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",7.6,10,39,7.2,0,297.2576
NaN,"Clear",2023-02-15T11:00:00,2.6,10.7,57.46,"41.829742371733346, 12.468582121891949",0,0,1029.9,"16242099999,16239099999,AT416,16224099999,16234099999",10.7,10,116,4.7,0,368.1724
NaN,"Clear",2023-02-15T11:30:00,2.6,10.7,57.46,"41.829742371733346, 12.468582121891949",0,0,1029.9,"16242099999,16239099999,AT416,16224099999,16234099999",10.7,10,116,4.7,0,473.1673
NaN,"Clear",2023-02-15T12:00:00,3.1,14,47.71,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",14,10,170,2.4,0,417.0237
NaN,"Clear",2023-02-15T12:30:00,3.1,14,47.71,"41.829742371733346, 12.468582121891949",0,0,1029.3,"16242099999,16239099999,AT416,16224099999,16234099999",14,10,170,2.4,0,297.1254
NaN,"Clear",2023-02-15T13:00:00,4.2,15.2,47.55,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",15.2,10,264,6.5,0,248.5733
NaN,"Clear",2023-02-15T13:30:00,4.2,15.2,47.55,"41.829742371733346, 12.468582121891949",0,0,1029,"16242099999,16239099999,AT416,16224099999,16234099999",15.2,10,264,6.5,0,369.8651
NaN,"Clear",2023-02-15T14:00:00,6.5,15.9,53.62,"41.829742371733346, 12.468582121891949",0,0,1028.9,"16242099999,16239099999,AT416,16224099999,16234099999",15.9,10,253,8.5,0,246.7252
NaN,"Clear",2023-02-15T14:30:00,6.5,15.9,53.62,"41.829742371733346, 12.468582121891949",0,0,1028.9,"16242099999,16239099999,AT416,16224099999,16234099999",15.9,10,253,8.5,0,248.1757
NaN,"Clear",2023-02-15T15:00:00,6.4,16.3,51.82,"41.829742371733346, 12.468582121891949",0,0,1028,"16242099999,16239099999,AT416,16224099999,16234099999",16.3,10,257,10,0,238.1971
NaN,"Clear",2023-02-15T15:30:00,6.4,16.3,51.82,"41.829742371733346, 12.468582121891949",0,0,1028,"16242099999,16239099999,AT416,16224099999,16234099999",16.3,10,257,10,0,265.2779
